ts	phase	decision	why	evidence	result
2026-09-03T02:36:20Z	frame	ENG-57 is a locked-copy ship of 13 issues into 3 catalogs plus EN Swift fallbacks	Idriss already locked EN/DE/IT; engineering ships strings; user asked to work every sub-issue	linear ENG-57 plus ENG-58 ENG-62 through ENG-73	framed
2026-09-03T02:36:20Z	frame	Done when locked strings show on the live sim and catalogs match the table; medical claims analytics names and identifiers stay	Prove it on the real app not a compile	figure-it-out Phase A	open
2026-09-03T02:36:20Z	design	One worktree one writer on xcstrings; no per-issue PRs	The three catalogs are one shared write target	principle-separate-before-serializing-shared-state	chosen
2026-09-03T02:36:20Z	design	Delete EN Swift fallbacks so EN reads catalogs like DE/IT	Hardcoded leftovers explorer found EN-only branches; dual path is the bug	TrialStatusPresentation BlockingStatusPresentation ProtectionOffPresentation TrialEndPaywallPresentation	chosen
2026-09-03T02:36:20Z	design	architect skipped	Copy is locked; no design fork to explore	figure-it-out Phase B skip rule	skipped
2026-09-03T02:36:20Z	design	Plus-gate bodies get their own keys; paywall.subtitle stays the long paywall sentence	Smart Reminders and App Blocking currently share paywall.subtitle and must diverge	PlusUpsellSheet.swift:108	chosen
2026-09-03T03:10:00Z	loop	Deleted EN Swift fallbacks in TrialStatus and dead TrialEnd loss/gain frames	How leftovers: EN ignored catalogs	TrialStatusPresentation.swift TrialEndPaywallPresentation.swift	done
2026-09-03T03:10:00Z	loop	Remapped locked keys onto wired DueActionCopy/MethodAwareCopy names and dropped orphan due/plusgate keys	Laziness: subtract duplicate key families	locked-copy.json Localizable.xcstrings Commerce.xcstrings	done
2026-09-03T03:10:00Z	loop	Free blocking card CTA uses today.protection.add	off.cta is the ended-plus path	BlockingStatusPresentation.swift	done
2026-09-03T03:10:00Z	loop	Lifetime title fallback reads paywall.plan.lifetime	ENG-68 locked string	PremiumPaywallView.swift TrialEndPaywallView.swift	done
2026-09-03T03:20:00Z	verify	Simulator Today History Settings and trial sheet show locked EN	axe + 1x screenshots on iPhone 17 Pro	/tmp/eng57-qa	pass
