ts	phase	decision	why	evidence	result
2026-09-03T02:37:02Z	frame	Ship locked ENG-58 and ENG-62-73 copy as one table plus apply script	Copy is already signed off. The work is mapping and wiring, not rewriting.	.audit/eng-57-playbook.md	open
2026-09-03T02:37:03Z	frame	One worktree, one writer on xcstrings	Three catalogs are shared mutable state. Parallel writers would race.	feature/eng-57-girly-pop-copy	open
2026-09-03T02:37:03Z	design	architect skipped	Locked copy. No design fork. Table of triples is the domain shape.	principle-laziness-protocol	skipped
2026-09-03T02:37:03Z	design	Treat Idriss working the parent as go	Issues said wait. The session asked to ship every sub-issue.	ENG-57	open
2026-09-03T03:00:40Z	apply	Re-applied locked triples so existing keys overwrite	First apply left trial-granted headlines on the old split sentence	tools/girly-pop-copy/catalog.py verify PASS 224	catalogs match LOCKED
2026-09-03T03:00:40Z	wire	Routed due-action plus-gate protection trial-end and streak leftovers through catalogs	English hardcoded paths ignored the locked table	DueActionCopy.swift MethodAwareCopy.swift TrialEndPaywallPresentation.swift TrialStatusPresentation.swift	53 focused tests green
2026-09-03T03:00:40Z	verify	Live AX on Today History Settings trial-end and decline	Prove it on the simulator not only catalogs	/tmp/eng57-today-1x.png /tmp/eng57-history-1x.png /tmp/eng57-settings-1x.png	locked English visible
2026-09-03T03:05:48Z	apply	Canonical lever is Pillie/scripts/copy-rewrite not tools/girly-pop-copy	The first apply row pointed at an untracked duplicate writer. The committed script is the one writer.	Pillie/scripts/copy-rewrite/apply-locked-copy.py verify passed 217	supersedes tools/girly-pop-copy row
2026-09-03T03:05:48Z	verify	Live AX on Smart Reminders gate App Blocking gate and full paywall	Those three surfaces were the remaining predicate gaps	.audit/eng-57-qa/smart-reminders-gate.png .audit/eng-57-qa/blocking-gate.png .audit/eng-57-qa/full-paywall.png	locked English visible
2026-09-03T03:05:48Z	verify	Live AX on announcement decline protection-off and both trial-end walls	ENG-70 ENG-71 ENG-72 ENG-73 needed product proof not only catalogs	.audit/eng-57-qa/announcement.png .audit/eng-57-qa/decline.png .audit/eng-57-qa/protection-off.png .audit/eng-57-qa/trial-end.png .audit/eng-57-qa/hard-paywall.png	locked English visible
2026-09-03T03:16:38Z	verify	Retargeted stale DE/IT/onboarding test expectations to locked catalogs. Deleted untracked catalog.py.	Trail review found two locked tables. Hosted German and onboarding tests still asserted pre-rewrite English/German.	GermanLocalizationContractTests 13 passed. AppBlockingSetupContentTests SoftPaywall TrialGranted 39 passed. ProtectionPlanOnboarding DueAction SmartReminders UpdateTrial 33 passed.	pass
