ts	phase	decision	why	evidence	result
2026-09-26T02:15:25Z	frame	routed to figure-it-out with maintain-verification-skill as the live-pass shape	cross-cutting skill+harness change the user will review later	poteto-mode SKILL.md playbooks	open
2026-09-26T02:15:25Z	frame	started pillie-ios for a timed baseline ns-mac-qa before changing anything	need old-vs-new numbers for the efficiency claims	scratchpad/baseline/qa.log	running
2026-09-26T02:20:58Z	baseline	measured cold ns-mac-qa from a stopped Mac	old-vs-new numbers	scratchpad/baseline/qa.log	195s; 2.5MB build log streamed back
2026-09-26T02:20:58Z	baseline	measured SKIP_BUILD and CAPTURE_ONLY recapture	that is the per-step cost the skill tells agents to pay	scratchpad/baseline/skip.log cap.log	24.5s and 18.0s
2026-09-26T02:20:58Z	baseline	measured one axe describe-ui via namespace-mac.sh exec vs raw api exec	find where the per-step time goes	exec timings in transcript	6.8s via script vs 0.42s raw RunCommandSync; 5s stream poll dominates
2026-09-26T02:20:58Z	baseline	reproduced make ns-mac-exec CMD with $(make -s udid) losing the udid	the skill's documented drive command	Makefile:142 recursive expansion	broken: axe says Missing value for --udid
2026-09-26T02:20:58Z	design	drive flows through one remote axe batch run per flow instead of one exec per tap	axe 1.8 batch shares one HID session and --wait-timeout replaces sleeps	axe batch --help on pillie-ios	open
2026-09-26T02:30:32Z	harness	added sim-flow.sh: runs a whole flow on the Mac, axe batch for taps, shot = 1x PNG + ax json + outline	one remote job per flow instead of one exec per tap	Pillie/scripts/sim-flow.sh, commit 90513d1	smoke flow 8 steps 19.8s on Mac, 1 exec + 1 download
2026-09-26T02:30:32Z	harness	added ax-outline.py	39KB JSON per screen is too much context for an agent	Pillie/scripts/ax-outline.py	38.7KB to 1.2KB on the welcome screen
2026-09-26T02:30:32Z	harness	openurl step accepts the iOS Open in Pillie prompt with retry	every simctl openurl shows it and the first tap can land mid-animation	.qa-artifacts/flows/smoke/02-fail.png	fixed, smoke passes
2026-09-26T02:30:32Z	harness	ns-mac-exec/verify pass CMD through env NS_MAC_CMD = $(value CMD)	make ate $(...) and the local shell would have expanded it too	Makefile ns-mac-exec	live: udid resolves on the Mac, 151554-byte tree
2026-09-26T02:30:32Z	harness	artifact dir: /opt/cursor/artifacts only when /opt/cursor exists, else repo .qa-artifacts (gitignored)	Claude Code cloud has no /opt/cursor; the user can open the repo folder	namespace-mac.sh ARTIFACT_DIR	this env sets PILLIE_NS_ARTIFACT_DIR=/tmp/pillie-artifacts, which still wins
2026-09-26T02:30:32Z	harness	sim-qa build output goes to /tmp/pillie_build.log, errors and tail on failure	baseline streamed 2.5MB of xcodebuild into the agent	Pillie/scripts/sim-qa.sh quiet()	untested live yet
2026-09-26T02:30:32Z	perf	perf.flow: perf-launch 5 and frames all over the flow runner	no remote perf path existed; measure-frames was Mac-only	.qa-artifacts/flows/perf/	relaunch median 1108ms; tabs 18 transitions 2 dropped worst 35.5ms
2026-09-26T02:39:22Z	live	history-calendar and history-correction passed live	History feature coverage	.qa-artifacts/flows/history-*/report.json	17 steps 43.9s; 22 steps 48.3s; Sep 14 Not logged -> Done
2026-09-26T02:39:22Z	product	developer menu row ids leak onto child texts and icon, so axe --id matches 3 and the Button gets X-X-X	found by the first scenario tap; debug-only, kept out of this PR	DeveloperMenuView.swift:114, history-correction fail outline	flows tap the row title instead; reported
2026-09-26T02:39:22Z	harness	appearance dark verified to be a no-op for app content	app forces .light	PillieApp.swift:330, smoke 04-settings-dark.png	documented, dropped from smoke
2026-09-26T03:07:59Z	live	today-home, today-trial, today-review-prompt passed live	Today coverage incl. take pill, shake fallback, undo	.qa-artifacts/flows/today-*/report.json	23/20/10 steps pass
2026-09-26T03:07:59Z	harness	fresh now empties the App Group container	the store lives there and survives simctl uninstall, so fresh was never a first launch	get_app_container groups showed Application Support; today-home Day 28 after fresh	trial shows 14 days left after fresh
2026-09-26T03:07:59Z	harness	flow lines tokenized with shlex instead of eval	an unquoted & in a deep link backgrounded the step	paywall-boards wrote no report	fixed
2026-09-26T03:07:59Z	harness	dropped my axe-matcher-after-sheet theory	real cause was U+202F in 8:00 AM; the outline hid it	02-method-closed.ax.json lookup	runner folds Unicode spaces; outline shows \u202f
2026-09-26T03:07:59Z	harness	selector taps resolved by the runner on screen, not by axe	axe taps off-screen rows silently and cannot fold narrow spaces	developer-menu scroll failure, settings-language false pass	fails with off screen; scroll first
2026-09-26T03:07:59Z	harness	gesture scroll-down rewritten to a 0.6s swipe	axe preset did not scroll the Settings pane	probe-method after-swipe outline	Cycle day row moved to y=-21
2026-09-26T03:07:59Z	live	settings-editors passed live with one persisted edit	Settings coverage	.qa-artifacts/flows/settings-editors/08-interval-saved.png	44 steps 80.9s; Interval shows Every 15 minutes
2026-09-26T03:07:59Z	ops	pillie-ios idle-stopped during the user pause; relaunched for the live pass	900s idle timeout with no job holding it	exec: pillie-ios is stopped	restart cost only
2026-09-26T03:50:26Z	live	first full pass FLOW=all after rebuild: 9 of 13 pass	live coverage of every feature	scratchpad/livepass.log	developer-menu, onboarding-walkthrough, paywall-boards, today-home failed
2026-09-26T03:50:26Z	harness	selector taps prefer an on-screen Button and wait for a steady position	first match was card text, and sheet taps landed mid-slide	today-home tap at 126,302 vs 201,742	today-home passes
2026-09-26T03:50:26Z	harness	fresh deletes the device-wide defaults domain	measure-frames writes onboardingStep via simctl spawn defaults, which uninstall keeps	defaults read after uninstall still 16	onboarding-walkthrough 46 steps to Home
2026-09-26T03:50:26Z	harness	fresh resets the simulator keychain	TrialGrantStore keeps the trial there	TrialGrantStore.swift kSecAttrService	real first launch
2026-09-26T03:50:26Z	product	honest-paywall settingsFree link is not deterministic	it seeds a one-shot trial announcement sheet that blocks the paywall cover	probe-free outlines	board skipped in flow, documented; reported
2026-09-26T03:50:26Z	product	honest-paywall duringTrial post can land before Home subscribes	DebugQA.apply rebuilds Home, post is one main-queue turn later	paywall-boards fail after cold Mac	flow waits for Today before the link
2026-09-26T03:50:26Z	live	second full pass: 12 of 14 pass; developer-menu and today-home depended on earlier state	suite order exposed state leaks	scratchpad/livepass2.log	developer-menu starts fresh; today-home grants a trial
2026-09-26T03:50:26Z	live	developer-menu and today-home pass behind today-trial and history-correction	prove the fixes do not depend on order	scratchpad/rerun7.log	4 of 4 pass
2026-09-26T04:03:59Z	live	full pass FLOW=all: 13 of 13 flows ok against build a896e2d	every feature driven in one run	.qa-artifacts/flows/*/report.json, scratchpad/livepass3.log	13/13 ok; make exit came from editing namespace-mac.sh mid-run
2026-09-26T04:03:59Z	review	cold adversarial review found false-pass paths	a harness that passes when it should fail is worse than none	review findings 1-15	fixed 1-13 and 15; 14 (terminate order) fixed too
2026-09-26T04:03:59Z	harness	one quote-aware tokenizer, arg validation in runner and checker, every multi-command step checks each command	malformed wait passed, failed openurl/shot/frames passed, # in quotes cut lines	sim-flow.sh tokens/check_selector, check-verify-flows.py	checker catches all reviewer cases
2026-09-26T04:03:59Z	harness	gone and expect-not only pass on a Pillie tree	a failed dump or a SpringBoard alert read as absent	ax-outline --has root	open
2026-09-26T04:03:59Z	harness	flow_remote clears the old archive, refuses an unsynced runner, prints each report's own ok	stale archive and always-ok lines could fake a pass	namespace-mac.sh flow_remote	open
